2018,Jan
Jan,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
22,108 °F,94.5 °F,81 °F,73.9 °F,69.6 °F,43.2 °F,78 %,50 %,22 %,17 mph,5 mph,17 mph,29.58 in,29.45 in,29.33 in,0 in
23,96.8 °F,87.2 °F,77.5 °F,74.8 °F,69.7 °F,42.6 °F,74 %,57 %,40 %,18 mph,8 mph,18 mph,29.54 in,29.46 in,29.37 in,0 in
24,100.6 °F,90.9 °F,81.3 °F,72.9 °F,69 °F,63.1 °F,74 %,53 %,31 %,26 mph,10 mph,26 mph,29.56 in,29.43 in,29.31 in,0 in
25,98.2 °F,86.8 °F,75.4 °F,73.9 °F,69.4 °F,44.1 °F,86 %,57 %,35 %,24 mph,9 mph,24 mph,29.7 in,29.58 in,29.46 in,0.05 in
26,100.2 °F,89.9 °F,79.7 °F,74.8 °F,70.3 °F,-18.4 °F,84 %,58 %,33 %,19 mph,8 mph,102 mph,29.7 in,29.62 in,29.53 in,0 in
27,104.9 °F,92.6 °F,80.2 °F,72.9 °F,67.6 °F,58.8 °F,78 %,48 %,26 %,17 mph,7 mph,17 mph,29.65 in,29.58 in,29.51 in,0 in
28,104.2 °F,92.4 °F,80.8 °F,71.6 °F,66.9 °F,60.1 °F,73 %,47 %,24 %,16 mph,7 mph,16 mph,29.65 in,29.58 in,29.5 in,0 in
29,101.3 °F,90.4 °F,79.5 °F,72.7 °F,68.2 °F,54.3 °F,77 %,51 %,31 %,21 mph,9 mph,21 mph,29.65 in,29.56 in,29.48 in,0 in
30,102.6 °F,90.7 °F,79 °F,74.1 °F,68.5 °F,61.5 °F,82 %,53 %,29 %,18 mph,9 mph,21 mph,29.61 in,29.53 in,29.46 in,0 in
2018,Temperature,Dew Point,Humidity,Speed,Pressure,Precip. Accum.
Jul,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
1,106.5 °F,92.5 °F,78.8 °F,72.5 °F,68.7 °F,54.1 °F,80 %,53 %,20 %,18 mph,7 mph,18 mph,29.61 in,29.56 in,29.5 in,0 in
2,104.9 °F,93.7 °F,82.4 °F,71.8 °F,65.6 °F,55.8 °F,69 %,43 %,22 %,13 mph,6 mph,13 mph,29.66 in,29.59 in,29.52 in,0 in
3,113.2 °F,93.9 °F,81.7 °F,70.7 °F,60.5 °F,29.3 °F,69 %,40 %,10 %,100 mph,6 mph,100 mph,29.64 in,29.37 in,29.1 in,0 in
4,87.8 °F,83.4 °F,79 °F,70.2 °F,68.8 °F,65.7 °F,72 %,66 %,53 %,8 mph,2 mph,8 mph,29.7 in,29.65 in,29.6 in,0 in
5,99.3 °F,87.8 °F,76.3 °F,72.5 °F,68.6 °F,63.7 °F,86 %,51 %,32 %,13 mph,5 mph,13 mph,29.91 in,29.85 in,29.78 in,0 in
6,99.3 °F,87.6 °F,75.9 °F,76.6 °F,71 °F,16.2 °F,94 %,63 %,33 %,30 mph,4 mph,30 mph,30.08 in,29.9 in,29.73 in,0.31 in
7,97.9 °F,86.4 °F,74.8 °F,72.9 °F,68.6 °F,61.7 °F,91 %,58 %,31 %,15 mph,4 mph,15 mph,29.83 in,29.74 in,29.64 in,0 in
8,98.1 °F,88.1 °F,78.1 °F,73.9 °F,68.6 °F,60.3 °F,83 %,56 %,31 %,17 mph,5 mph,17 mph,29.77 in,29.72 in,29.66 in,0 in
9,93.2 °F,84.3 °F,75.4 °F,78.4 °F,72.8 °F,68.2 °F,99 %,75 %,45 %,14 mph,3 mph,16 mph,29.83 in,29.78 in,29.74 in,0.44 in
10,98.4 °F,87 °F,75.6 °F,74.8 °F,71.6 °F,60.8 °F,92 %,70 %,39 %,8 mph,2 mph,8 mph,29.82 in,29.74 in,29.67 in,0 in
11,98.6 °F,38 °F,-22.5 °F,74.3 °F,69.8 °F,-61.8 °F,86 %,68 %,10 %,158 mph,4 mph,158 mph,29.73 in,29.67 in,29.6 in,0 in
12,101.8 °F,87.4 °F,73 °F,76.1 °F,71.5 °F,63.3 °F,99 %,71 %,31 %,20 mph,4 mph,20 mph,29.72 in,29.68 in,29.64 in,0.12 in
13,99.3 °F,86.2 °F,73.2 °F,74.7 °F,69.2 °F,60.3 °F,99 %,63 %,31 %,13 mph,5 mph,13 mph,29.76 in,29.69 in,29.62 in,0 in
14,101.3 °F,90.9 °F,80.6 °F,73.8 °F,67.6 °F,22.5 °F,79 %,50 %,29 %,14 mph,5 mph,14 mph,29.73 in,29.65 in,29.57 in,0.09 in
15,101.7 °F,91.4 °F,81.1 °F,73.9 °F,68.5 °F,62.2 °F,78 %,49 %,31 %,14 mph,6 mph,14 mph,29.69 in,29.62 in,29.54 in,0 in
16,104.2 °F,36.4 °F,-31.4 °F,71.2 °F,64.6 °F,-68.8 °F,70 %,42 %,10 %,51 mph,6 mph,51 mph,29.7 in,29.64 in,29.57 in,0 in
17,110.1 °F,84.4 °F,58.8 °F,69.8 °F,59.7 °F,2.3 °F,66 %,35 %,10 %,111 mph,5 mph,111 mph,29.7 in,29.63 in,29.56 in,0 in
18,112.3 °F,74.9 °F,37.4 °F,69.3 °F,60.8 °F,24.8 °F,62 %,33 %,11 %,100 mph,6 mph,100 mph,29.63 in,29.56 in,29.48 in,0.11 in
19,112.6 °F,98.5 °F,84.4 °F,72 °F,63.2 °F,45 °F,62 %,37 %,11 %,147 mph,8 mph,147 mph,29.57 in,29.49 in,29.42 in,0 in
20,113.2 °F,98.4 °F,84 °F,68.5 °F,55.7 °F,36.7 °F,58 %,28 %,10 %,14 mph,5 mph,14 mph,29.59 in,29.54 in,29.49 in,0 in
21,114.8 °F,98.4 °F,81.9 °F,67.8 °F,55.7 °F,36.7 °F,58 %,29 %,10 %,16 mph,4 mph,16 mph,29.62 in,29.56 in,29.5 in,0 in
22,114.3 °F,98.7 °F,83.3 °F,67.3 °F,57.1 °F,37.6 °F,49 %,28 %,10 %,13 mph,4 mph,13 mph,29.61 in,29.53 in,29.46 in,0 in
23,105.3 °F,94.7 °F,84.4 °F,69.8 °F,62.4 °F,52.9 °F,61 %,36 %,22 %,18 mph,5 mph,18 mph,29.63 in,29.54 in,29.46 in,0 in
24,101.7 °F,90.7 °F,79.9 °F,66.2 °F,61.7 °F,57.4 °F,62 %,40 %,25 %,14 mph,4 mph,14 mph,29.74 in,29.68 in,29.62 in,0 in
25,105.6 °F,91.4 °F,77.4 °F,65.5 °F,57.2 °F,36.7 °F,63 %,34 %,10 %,11 mph,2 mph,11 mph,29.74 in,29.67 in,29.59 in,0 in
26,108.7 °F,94.4 °F,80.4 °F,64 °F,53.7 °F,36.7 °F,56 %,29 %,10 %,9 mph,2 mph,9 mph,29.69 in,29.62 in,29.56 in,0 in
27,104.9 °F,95.9 °F,86.9 °F,63.3 °F,59.9 °F,54.5 °F,45 %,33 %,20 %,11 mph,2 mph,11 mph,29.68 in,29.64 in,29.6 in,0 in
28,106.3 °F,94.6 °F,82.8 °F,70 °F,63 °F,57.4 °F,56 %,40 %,21 %,17 mph,3 mph,17 mph,29.74 in,29.66 in,29.58 in,0 in
29,102.6 °F,91.2 °F,79.9 °F,87.8 °F,68.4 °F,63 °F,99 %,50 %,32 %,14 mph,5 mph,14 mph,29.7 in,29.61 in,29.52 in,0.02 in
30,95.2 °F,84.1 °F,73 °F,72 °F,68.2 °F,63.5 °F,90 %,63 %,37 %,24 mph,4 mph,24 mph,29.76 in,29.65 in,29.55 in,0.06 in
31,96.4 °F,84.8 °F,73.2 °F,69.6 °F,60.3 °F,51.6 °F,79 %,48 %,23 %,13 mph,4 mph,13 mph,29.72 in,29.67 in,29.63 in,0 in
2018,Temperature,Dew Point,Humidity,Speed,Pressure,Precip. Accum.
Aug,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
1,99.3 °F,84.1 °F,68.9 °F,64.8 °F,54.7 °F,40.6 °F,80 %,39 %,14 %,12 mph,3 mph,12 mph,29.74 in,29.67 in,29.61 in,0 in
2,99.3 °F,87.2 °F,75 °F,60.3 °F,55.1 °F,49.6 °F,57 %,34 %,20 %,11 mph,4 mph,11 mph,29.73 in,29.67 in,29.6 in,0 in
3,99.3 °F,87.9 °F,76.5 °F,63.7 °F,52.1 °F,38.5 °F,51 %,31 %,14 %,14 mph,5 mph,14 mph,29.74 in,29.67 in,29.6 in,0 in
4,100.2 °F,88.1 °F,76.1 °F,66.4 °F,59.6 °F,50.5 °F,65 %,39 %,21 %,16 mph,5 mph,16 mph,29.7 in,29.65 in,29.59 in,0 in
5,113 °F,89.9 °F,77.9 °F,72.1 °F,65.6 °F,59.4 °F,81 %,48 %,26 %,17 mph,6 mph,17 mph,29.79 in,29.73 in,29.66 in,0 in
6,102.2 °F,91.3 °F,80.4 °F,70.3 °F,65.8 °F,60.8 °F,70 %,45 %,29 %,17 mph,5 mph,17 mph,29.8 in,29.72 in,29.63 in,0 in
7,104.5 °F,92.4 °F,80.4 °F,71.8 °F,66.1 °F,60.6 °F,74 %,46 %,25 %,15 mph,6 mph,15 mph,29.74 in,29.64 in,29.54 in,0 in
8,95 °F,87.7 °F,80.4 °F,72.1 °F,68.5 °F,63.5 °F,73 %,54 %,40 %,13 mph,6 mph,13 mph,29.72 in,29.63 in,29.55 in,0 in
9,106.2 °F,90.4 °F,74.7 °F,76.1 °F,70.1 °F,16.7 °F,93 %,63 %,29 %,76 mph,4 mph,76 mph,29.71 in,29.64 in,29.57 in,0.12 in
10,101.8 °F,80.5 °F,74.5 °F,74.5 °F,71.3 °F,63.7 °F,97 %,77 %,51 %,14 mph,4 mph,14 mph,29.76 in,29.67 in,29.59 in,0.05 in
11,87.4 °F,74.8 °F,70.5 °F,75 °F,72.3 °F,66.6 °F,99 %,93 %,81 %,14 mph,4 mph,14 mph,29.74 in,29.68 in,29.62 in,1.43 in
12,90 °F,81.2 °F,72.3 °F,76.3 °F,72.8 °F,68 °F,99 %,77 %,49 %,13 mph,5 mph,13 mph,29.74 in,29.68 in,29.63 in,0.01 in
13,100.2 °F,86.8 °F,73.4 °F,77 °F,74 °F,68 °F,99 %,88 %,37 %,18 mph,4 mph,18 mph,29.7 in,29.64 in,29.57 in,0.41 in
14,90.3 °F,81.6 °F,73.2 °F,76.1 °F,70.1 °F,64 °F,98 %,69 %,45 %,15 mph,6 mph,15 mph,29.66 in,29.58 in,29.51 in,0.13 in
15,100.6 °F,89.6 °F,78.8 °F,73.8 °F,69.2 °F,63 °F,82 %,53 %,32 %,14 mph,6 mph,14 mph,29.65 in,29.6 in,29.54 in,0 in
16,101.1 °F,90.7 °F,80.6 °F,72.1 °F,69.2 °F,64.9 °F,75 %,49 %,33 %,12 mph,6 mph,12 mph,29.71 in,29.65 in,29.59 in,0 in
17,102.6 °F,92.2 °F,81.9 °F,71.8 °F,66.5 °F,18.1 °F,66 %,44 %,10 %,16 mph,5 mph,16 mph,29.94 in,29.76 in,29.59 in,0 in
18,109.9 °F,90.8 °F,71.6 °F,75.7 °F,68.5 °F,61.3 °F,99 %,55 %,23 %,19 mph,4 mph,19 mph,29.69 in,29.6 in,29.5 in,1.39 in
19,101.3 °F,86.2 °F,71.1 °F,75.7 °F,70.8 °F,64.2 °F,96 %,61 %,34 %,15 mph,3 mph,15 mph,29.63 in,29.54 in,29.46 in,0 in
20,99.1 °F,89.1 °F,79 °F,73.9 °F,65.8 °F,17.4 °F,80 %,52 %,29 %,118 mph,3 mph,118 mph,30.01 in,29.77 in,29.53 in,0 in
21,97.9 °F,85.9 °F,73.8 °F,70.2 °F,63.5 °F,56.7 °F,79 %,50 %,30 %,8 mph,2 mph,8 mph,29.81 in,29.74 in,29.68 in,0 in
22,99.1 °F,86.8 °F,74.5 °F,68.2 °F,64 °F,55.8 °F,80 %,51 %,25 %,10 mph,4 mph,10 mph,29.87 in,29.8 in,29.72 in,0 in
23,104.2 °F,90.3 °F,77.2 °F,69.8 °F,66.1 °F,63.3 °F,69 %,48 %,31 %,14 mph,5 mph,14 mph,29.75 in,29.65 in,29.56 in,0 in
24,102.9 °F,92 °F,81.3 °F,70.5 °F,66.6 °F,58.6 °F,68 %,46 %,27 %,17 mph,6 mph,17 mph,29.63 in,29.56 in,29.5 in,0 in
25,101.7 °F,90.9 °F,80.8 °F,71.1 °F,67.6 °F,63.3 °F,71 %,49 %,31 %,14 mph,6 mph,14 mph,29.71 in,29.65 in,29.58 in,0 in
26,98.8 °F,89.2 °F,80.1 °F,73.8 °F,67.8 °F,63.1 °F,80 %,50 %,34 %,15 mph,6 mph,15 mph,29.73 in,29.66 in,29.59 in,0 in
27,99.1 °F,89.6 °F,80.2 °F,71.8 °F,67.8 °F,28.6 °F,75 %,51 %,33 %,17 mph,7 mph,17 mph,30.05 in,29.77 in,29.5 in,0 in
28,100.4 °F,90.2 °F,80.1 °F,73.4 °F,69.1 °F,63.1 °F,79 %,53 %,31 %,14 mph,7 mph,19 mph,29.65 in,29.59 in,29.53 in,0 in
29,102.2 °F,90.6 °F,79 °F,74.3 °F,69.9 °F,31.3 °F,84 %,55 %,31 %,12 mph,5 mph,13 mph,30.08 in,29.83 in,29.59 in,0 in
30,99.1 °F,88.3 °F,77.5 °F,71.4 °F,67.7 °F,4.5 °F,79 %,53 %,30 %,14 mph,5 mph,14 mph,29.93 in,29.76 in,29.59 in,0 in
31,100.2 °F,89.8 °F,79.5 °F,70.7 °F,65.7 °F,60.8 °F,71 %,46 %,29 %,11 mph,4 mph,11 mph,29.67 in,29.6 in,29.53 in,0 in
2018,Temperature,Dew Point,Humidity,Speed,Pressure,Precip. Accum.
Sep,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
1,99 °F,89.2 °F,79.7 °F,71.1 °F,67.2 °F,18.5 °F,73 %,49 %,30 %,14 mph,5 mph,14 mph,29.99 in,29.74 in,29.5 in,0 in
2,96.6 °F,87.5 °F,78.4 °F,73.6 °F,69.2 °F,64.9 °F,80 %,57 %,37 %,17 mph,6 mph,17 mph,29.64 in,29.58 in,29.51 in,0 in
3,83.3 °F,79.1 °F,74.8 °F,77.5 °F,74.1 °F,42.6 °F,99 %,87 %,71 %,15 mph,6 mph,15 mph,30.03 in,29.78 in,29.54 in,0.31 in
4,93.2 °F,84.3 °F,75.7 °F,74.8 °F,71.9 °F,65.8 °F,91 %,74 %,44 %,17 mph,6 mph,17 mph,29.72 in,29.65 in,29.59 in,0 in
5,97.3 °F,87.6 °F,77.9 °F,76.8 °F,73.2 °F,53.2 °F,90 %,76 %,40 %,11 mph,3 mph,11 mph,29.76 in,29.7 in,29.65 in,0.05 in
6,97.5 °F,85.9 °F,74.3 °F,77.7 °F,73.6 °F,68 °F,99 %,75 %,41 %,18 mph,2 mph,18 mph,29.76 in,29.7 in,29.64 in,1.07 in
8,73.8 °F,73.4 °F,72.9 °F,73.4 °F,72.6 °F,72 °F,99 %,98 %,97 %,4 mph,2 mph,7 mph,29.59 in,29.56 in,29.53 in,0 in
9,80.4 °F,74.9 °F,69.4 °F,72.1 °F,66.2 °F,62.4 °F,98 %,79 %,58 %,11 mph,3 mph,11 mph,29.85 in,29.69 in,29.54 in,0 in
10,80.8 °F,75.2 °F,69.8 °F,72.3 °F,67.3 °F,63 °F,97 %,82 %,65 %,11 mph,3 mph,11 mph,29.67 in,29.63 in,29.59 in,0.04 in
11,86 °F,77.7 °F,69.4 °F,73.2 °F,69.3 °F,66 °F,98 %,86 %,57 %,12 mph,4 mph,12 mph,29.73 in,29.68 in,29.63 in,0.11 in
12,89.2 °F,80.6 °F,72.1 °F,73.9 °F,71.7 °F,68.2 °F,99 %,82 %,52 %,14 mph,5 mph,14 mph,29.73 in,29.68 in,29.63 in,0.01 in
13,97.7 °F,83.2 °F,72.1 °F,74.7 °F,70.7 °F,52.3 °F,96 %,71 %,43 %,11 mph,4 mph,11 mph,29.75 in,29.64 in,29.53 in,0 in
14,87.3 °F,80.8 °F,74.3 °F,80.2 °F,73.5 °F,70.3 °F,94 %,83 %,66 %,14 mph,2 mph,14 mph,29.73 in,29.68 in,29.63 in,0.09 in
15,95.5 °F,84.1 °F,72.7 °F,75.9 °F,72.1 °F,67.5 °F,99 %,72 %,43 %,13 mph,3 mph,14 mph,29.74 in,29.67 in,29.6 in,0 in
16,99.3 °F,87 °F,76.5 °F,73.6 °F,70.2 °F,65.7 °F,86 %,61 %,39 %,9 mph,2 mph,9 mph,29.72 in,29.64 in,29.56 in,0 in
17,102 °F,90.2 °F,78.6 °F,73.9 °F,68.9 °F,63.5 °F,82 %,54 %,33 %,10 mph,2 mph,10 mph,29.68 in,29.62 in,29.57 in,0 in
18,101.8 °F,89.8 °F,78.1 °F,72.1 °F,68.5 °F,63 °F,81 %,52 %,30 %,9 mph,2 mph,9 mph,29.68 in,29.61 in,29.54 in,0 in
19,100.4 °F,89.7 °F,79 °F,71.8 °F,69.1 °F,64.8 °F,78 %,53 %,35 %,11 mph,4 mph,11 mph,29.65 in,29.58 in,29.51 in,0 in
20,95.4 °F,84.2 °F,72.9 °F,73.8 °F,70 °F,61.7 °F,94 %,65 %,40 %,27 mph,5 mph,27 mph,29.65 in,29.59 in,29.53 in,0.08 in
21,88 °F,80.8 °F,73.6 °F,78.8 °F,74.7 °F,71.1 °F,99 %,88 %,65 %,13 mph,4 mph,16 mph,29.64 in,29.59 in,29.54 in,2.81 in
22,108.3 °F,72.8 °F,68.9 °F,76.3 °F,72.4 °F,59.9 °F,99 %,98 %,95 %,14 mph,4 mph,14 mph,29.62 in,29.57 in,29.52 in,2.83 in
23,86.9 °F,71.4 °F,66.9 °F,71.1 °F,68.7 °F,63.7 °F,99 %,96 %,80 %,10 mph,2 mph,10 mph,29.64 in,29.57 in,29.5 in,0.06 in
24,71.6 °F,54.8 °F,37.9 °F,70.7 °F,66.7 °F,6.1 °F,99 %,94 %,10 %,65 mph,4 mph,65 mph,29.59 in,29.57 in,29.54 in,0.01 in
25,83.8 °F,77.5 °F,71.2 °F,66.6 °F,65.5 °F,64.4 °F,85 %,68 %,52 %,0 mph,0 mph,0 mph, in,-- in, in,0 in
26,90.1 °F,90.1 °F,90.1 °F,57.9 °F,57.9 °F,57.9 °F,34 %,34 %,34 %,0 mph,0 mph,0 mph, in,-- in, in,0 in
28,74.7 °F,72.8 °F,70.9 °F,65.8 °F,65.2 °F,64.9 °F,82 %,78 %,73 %,4 mph,1 mph,4 mph,29.56 in,29.54 in,29.52 in,0.04 in
29,79.5 °F,73.1 °F,66.7 °F,73 °F,68.2 °F,64.4 °F,97 %,88 %,76 %,7 mph,2 mph,9 mph,29.62 in,29.57 in,29.51 in,0.14 in
30,87.1 °F,79.1 °F,71.2 °F,71.1 °F,69.5 °F,68 °F,93 %,77 %,54 %,6 mph,2 mph,8 mph,29.61 in,29.55 in,29.49 in,0 in
2018,Temperature,Dew Point,Humidity,Speed,Pressure,Precip. Accum.
Oct,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
1,88.7 °F,80.4 °F,72.3 °F,71.6 °F,70.3 °F,68.7 °F,95 %,77 %,55 %,7 mph,2 mph,12 mph,29.63 in,29.56 in,29.5 in,0 in
2,88.5 °F,79.8 °F,71.2 °F,72.7 °F,70.4 °F,68.4 °F,93 %,77 %,57 %,6 mph,1 mph,9 mph,29.62 in,29.55 in,29.47 in,0 in
3,91.6 °F,83.3 °F,75 °F,73 °F,70.6 °F,66.6 °F,92 %,69 %,45 %,9 mph,3 mph,12 mph,29.49 in,29.42 in,29.34 in,0 in
4,91.4 °F,83.4 °F,75.6 °F,74.1 °F,70.7 °F,66.7 °F,87 %,68 %,48 %,7 mph,2 mph,10 mph,29.51 in,29.45 in,29.39 in,0 in
5,92.1 °F,83.3 °F,74.8 °F,73 °F,70.6 °F,67.3 °F,88 %,69 %,48 %,10 mph,2 mph,15 mph,29.48 in,29.4 in,29.32 in,0 in
6,91 °F,82.1 °F,73.2 °F,74.5 °F,72.5 °F,69.8 °F,92 %,76 %,54 %,10 mph,2 mph,16 mph,29.44 in,29.38 in,29.31 in,0.08 in
7,90.5 °F,82.1 °F,73.6 °F,75.9 °F,72.2 °F,68.2 °F,92 %,80 %,53 %,10 mph,2 mph,17 mph,29.43 in,29.36 in,29.3 in,0.1 in
8,86.2 °F,77 °F,67.8 °F,75 °F,71 °F,65.3 °F,99 %,88 %,60 %,10 mph,2 mph,21 mph,29.36 in,29.31 in,29.25 in,3.33 in
9,74.7 °F,69 °F,63.3 °F,73 °F,67.3 °F,63 °F,99 %,98 %,86 %,8 mph,1 mph,14 mph,29.3 in,29.2 in,29.11 in,2.29 in
10,73.9 °F,66.2 °F,58.6 °F,64 °F,56.9 °F,52.2 °F,99 %,78 %,52 %,7 mph,1 mph,9 mph,29.48 in,29.36 in,29.24 in,0 in
11,74.5 °F,63.3 °F,52.5 °F,54.7 °F,50.5 °F,46.8 °F,89 %,65 %,42 %,6 mph,1 mph,9 mph,29.64 in,29.56 in,29.47 in,0 in
12,67.8 °F,65.2 °F,62.6 °F,63 °F,58.4 °F,52.7 °F,98 %,83 %,66 %,7 mph,1 mph,9 mph,29.52 in,29.44 in,29.37 in,0.84 in
13,67.1 °F,63.6 °F,60.1 °F,64.8 °F,61.8 °F,59.5 °F,99 %,97 %,91 %,6 mph,1 mph,9 mph,29.41 in,29.29 in,29.17 in,2.99 in
14,82.9 °F,67.2 °F,51.8 °F,72.7 °F,61.2 °F,49.8 °F,99 %,89 %,70 %,10 mph,1 mph,15 mph,29.55 in,29.41 in,29.27 in,0.08 in
15,51.8 °F,46.3 °F,40.8 °F,50.2 °F,42.7 °F,39.6 °F,98 %,95 %,89 %,10 mph,2 mph,17 mph,29.8 in,29.67 in,29.55 in,3.09 in
16,52 °F,48.1 °F,44.2 °F,49.3 °F,46.1 °F,43.5 °F,98 %,95 %,89 %,8 mph,1 mph,12 mph,29.79 in,29.74 in,29.69 in,1.72 in
17,56.8 °F,53.3 °F,50 °F,52.9 °F,48.9 °F,42.6 °F,98 %,87 %,63 %,6 mph,1 mph,9 mph,29.89 in,29.81 in,29.74 in,0.6 in
18,68 °F,60.7 °F,53.4 °F,54.5 °F,52.8 °F,51.1 °F,98 %,76 %,58 %,8 mph,1 mph,10 mph,29.88 in,29.81 in,29.74 in,0.01 in
19,62.4 °F,59.5 °F,56.5 °F,58.8 °F,56.7 °F,52.5 °F,99 %,95 %,71 %,4 mph,0 mph,7 mph,29.74 in,29.67 in,29.59 in,1.54 in
20,75.4 °F,64.7 °F,54.5 °F,59.7 °F,54.5 °F,44.8 °F,99 %,79 %,38 %,8 mph,1 mph,12 mph,29.79 in,29.7 in,29.61 in,0 in
21,72 °F,59.8 °F,47.7 °F,49.6 °F,44.2 °F,36.7 °F,98 %,62 %,30 %,8 mph,1 mph,11 mph,29.84 in,29.76 in,29.67 in,0 in
22,67.8 °F,59 °F,50.5 °F,49.1 °F,46.1 °F,42.6 °F,79 %,64 %,47 %,4 mph,1 mph,6 mph,29.73 in,29.67 in,29.61 in,0 in
23,73.2 °F,64.9 °F,56.7 °F,51.6 °F,47 °F,37.4 °F,79 %,58 %,32 %,6 mph,1 mph,8 mph,29.72 in,29.66 in,29.6 in,0 in
24,58.6 °F,55.8 °F,52.9 °F,54.9 °F,51.7 °F,47.5 °F,98 %,86 %,67 %,7 mph,2 mph,9 mph,29.65 in,29.55 in,29.45 in,2.03 in
25,65.1 °F,59.5 °F,54 °F,55.6 °F,48.2 °F,51.6 °F,99 %,81 %,64 %,3 mph,0 mph,7 mph,29.49 in,29.42 in,29.34 in,0.04 in
26,74.8 °F,62.1 °F,49.3 °F,55.2 °F,39.5 °F,48.6 °F,98 %,53 %,48 %,4 mph,0 mph,7 mph,29.51 in,29.44 in,29.38 in,0 in
27,83.7 °F,68.9 °F,54.1 °F,59.7 °F,55.8 °F,52.3 °F,94 %,68 %,42 %,3 mph,0 mph,4 mph,29.5 in,29.45 in,29.41 in,0 in
28,88.2 °F,73.5 °F,59 °F,62.6 °F,56.4 °F,55.6 °F,92 %,61 %,39 %,3 mph,0 mph,4 mph,29.58 in,29.52 in,29.46 in,0 in
29,84.2 °F,72.8 °F,61.7 °F,64.8 °F,61.1 °F,57.4 °F,86 %,68 %,46 %,11 mph,2 mph,15 mph,29.56 in,29.47 in,29.38 in,0 in
30,82.6 °F,75.3 °F,68.2 °F,67.5 °F,65.7 °F,59.9 °F,88 %,75 %,60 %,15 mph,3 mph,20 mph,29.39 in,29.33 in,29.27 in,0 in
31,71.1 °F,61.7 °F,52.5 °F,59.7 °F,56 °F,49.8 °F,98 %,88 %,68 %,6 mph,1 mph,11 mph,29.37 in,29.31 in,29.24 in,0.99 in
2018,Temperature,Dew Point,Humidity,Speed,Pressure,Precip. Accum.
Nov,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
1,64.8 °F,57.1 °F,49.3 °F,50.5 °F,43.8 °F,39.2 °F,92 %,66 %,43 %,8 mph,2 mph,14 mph,29.53 in,29.41 in,29.29 in,0 in
2,75.6 °F,61.3 °F,47.1 °F,47.8 °F,44.4 °F,40.5 °F,90 %,61 %,30 %,4 mph,0 mph,7 mph,29.55 in,29.47 in,29.38 in,0 in
3,75.2 °F,64.6 °F,54.1 °F,60.4 °F,47.7 °F,44.1 °F,92 %,58 %,45 %,14 mph,3 mph,21 mph,29.4 in,29.32 in,29.24 in,0.14 in
4,67.5 °F,57.4 °F,47.5 °F,50.7 °F,43 °F,42.4 °F,90 %,61 %,42 %,5 mph,1 mph,7 mph,29.62 in,29.51 in,29.39 in,0 in
5,83.1 °F,68.3 °F,54 °F,62.1 °F,54.4 °F,46.2 °F,88 %,69 %,41 %,8 mph,1 mph,11 mph,29.41 in,29.27 in,29.14 in,0 in
6,76.5 °F,65.9 °F,55.4 °F,67.6 °F,58.5 °F,47.8 °F,92 %,74 %,47 %,8 mph,2 mph,12 mph,29.43 in,29.36 in,29.3 in,0 in
7,70 °F,63.6 °F,57.2 °F,68.4 °F,57.9 °F,51.8 °F,98 %,90 %,81 %,10 mph,2 mph,12 mph,29.57 in,29.45 in,29.33 in,0.4 in
8,57.4 °F,53.1 °F,48.9 °F,52.3 °F,50 °F,46 °F,94 %,83 %,78 %,7 mph,2 mph,10 mph,29.67 in,29.58 in,29.5 in,0.24 in
9,56.1 °F,48.7 °F,41.2 °F,46.6 °F,38.2 °F,32.9 °F,91 %,69 %,47 %,10 mph,2 mph,16 mph,29.94 in,29.8 in,29.65 in,0 in
10,54.9 °F,43.8 °F,32.9 °F,34.2 °F,25.7 °F,11.7 °F,79 %,51 %,22 %,5 mph,1 mph,8 mph,29.99 in,29.84 in,29.69 in,0 in
11,52.7 °F,49.3 °F,46 °F,46.2 °F,39 °F,32.7 °F,96 %,69 %,57 %,7 mph,2 mph,10 mph,29.7 in,29.62 in,29.55 in,0.05 in
12,46.2 °F,39.9 °F,33.6 °F,45.3 °F,37.2 °F,26.4 °F,98 %,87 %,74 %,11 mph,2 mph,18 mph,29.99 in,29.75 in,29.51 in,0.16 in
13,42.6 °F,36.3 °F,30.2 °F,27.5 °F,22.8 °F,17.6 °F,79 %,63 %,41 %,9 mph,2 mph,15 mph,30.1 in,30.03 in,29.96 in,0 in
14,49.8 °F,37 °F,24.4 °F,27.5 °F,23.3 °F,16.9 °F,91 %,62 %,33 %,8 mph,0 mph,11 mph,30.06 in,29.95 in,29.84 in,0 in
15,67.6 °F,49.8 °F,32 °F,37.9 °F,32.3 °F,26.6 °F,84 %,56 %,29 %,6 mph,1 mph,10 mph,29.85 in,29.72 in,29.59 in,0 in
